Categoria,Nombre_Recurso,Tipo_Especifico,Ubicacion_o_Origen,Version_o_Detalle,Descripcion_y_Proposito
Dependencia NPM,next,Direct Dependency,package.json,16.2.10,Framework principal Fullstack React para renderizado SSR/SSG y App Router.
Dependencia NPM,react,Direct Dependency,package.json,19.2.4,Librería de interfaz de usuario en React.
Dependencia NPM,react-dom,Direct Dependency,package.json,19.2.4,Paquete DOM para la integración y renderizado de React en la web.
Dependencia NPM,@supabase/supabase-js,Direct Dependency,package.json,^2.110.7,Cliente oficial JS de Supabase para consultas a la BD Central y BYODB.
Dependencia NPM,@supabase/ssr,Direct Dependency,package.json,^0.12.3,Adaptador de Supabase para Next.js SSR (Manejo de Cookies y Clientes de Servidor).
Dependencia NPM,@aws-sdk/client-s3,Direct Dependency,package.json,^3.1090.0,SDK S3 de AWS para la generación de comandos PutObject hacia Cloudflare R2.
Dependencia NPM,@aws-sdk/s3-request-presigner,Direct Dependency,package.json,^3.1090.0,Generador de URLs pre-firmadas presigned para subidas seguras cliente->R2.
Dependencia NPM,framer-motion,Direct Dependency,package.json,^12.42.2,Librería para animaciones fluidas y micro-interacciones en componentes UI.
Dependencia NPM,lucide-react,Direct Dependency,package.json,^1.25.0,Conjunto de iconos vectoriales SVG para la interfaz del Dashboard.
Dependencia NPM,react-hook-form,Direct Dependency,package.json,^7.81.0,Gestión eficiente de formularios dinámicos y estados de campos.
Dependencia NPM,@hookform/resolvers,Direct Dependency,package.json,^5.4.0,Integración y validador de esquemas entre react-hook-form y Zod.
Dependencia NPM,zod,Direct Dependency,package.json,^4.4.3,Librería de validación y tipado de esquemas runtime (formularios y payloads API).
Dependencia NPM,tailwindcss,Dev Dependency,package.json,^4,Framework CSS utility-first para diseño visual moderno y responsivo.
Dependencia NPM,@tailwindcss/postcss,Dev Dependency,package.json,^4,Plugin PostCSS para procesar la compilación CSS de Tailwind v4.
Dependencia NPM,typescript,Dev Dependency,package.json,^5,Lenguaje de programación tipado estáticamente para JS.
Dependencia NPM,@types/node,Dev Dependency,package.json,^20,Definiciones de tipos de TypeScript para el entorno Node.js.
Dependencia NPM,@types/react,Dev Dependency,package.json,^19,Definiciones de tipos de TypeScript para React.
Dependencia NPM,@types/react-dom,Dev Dependency,package.json,^19,Definiciones de tipos de TypeScript para React DOM.
Dependencia NPM,eslint,Dev Dependency,package.json,^9,Linter de código para estandarización y calidad.
Dependencia NPM,eslint-config-next,Dev Dependency,package.json,16.2.10,Configuración estándar de ESLint adaptada a reglas de Next.js.
Servicio Externo,Supabase Central,BaaS Cloud,rbptlzqmfdxmucqkpvie.supabase.co,PostgreSQL + Auth,Base de datos central con Auth (auth.users) whitelist profiles organizations y causes.
Servicio Externo,Supabase BYODB,BaaS Tenant (bring-your-own-db),Instancia del Cliente,PostgreSQL local/privado,Base de datos remota/privada del tenant para agendar posts colas tokens y media_files.
Servicio Externo,Cloudflare R2,Object Storage S3-Compatible,cloudflarestorage.com,Bucket: hun-v01-oficial,Almacenamiento masivo de multimedia (imágenes/videos hasta 500MB) via Presigned URLs.
